region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,loglong,logtoll,logequi,logcard,logwire,lninc,custcat,churn
3,3,43,0,19,61.0,4,11,0.0,1,1,0,1,1,1,3.15,0.0,27.25,16.25,17.95,7.9,0.0,53.25,20.0,38.2,0,0,0,1,1,0,0,1,1,1.147402,3.208825,3.305054,2.788093,2.88759,4.110874,1,1
1,40,57,1,15,22.0,2,9,0.0,0,2,0,0,1,0,8.55,0.0,0.0,19.75,0.0,381.5,0.0,0.0,710.0,0.0,0,0,0,0,0,0,0,0,0,2.145931,3.208825,3.5723445,2.983153,3.594569,3.091042,1,0
3,16,39,0,6,44.0,4,3,0.0,1,1,0,1,0,0,6.6,0.0,23.3,0.0,0.0,96.3,0.0,350.15,0.0,0.0,1,0,0,1,0,0,0,0,1,1.88707,3.208825,3.148453,2.847812,3.594569,3.78419,2,0
1,20,42,0,4,17.0,3,5,0.0,0,1,0,0,0,0,7.8,0.0,0.0,0.0,0.0,175.85,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2.054124,3.208825,3.5723445,2.847812,3.594569,2.833213,1,0
2,48,43,0,13,110.0,5,15,0.0,1,3,0,1,0,1,7.25,0.0,33.5,0.0,20.65,359.35,0.0,1572.7,0.0,1010.4,1,1,0,1,0,0,0,0,1,1.981001,3.208825,3.511545,2.847812,3.027715,4.70048,2,0
2,64,48,1,13,91.0,2,24,0.0,0,2,1,0,1,1,24.5,24.75,0.0,12.5,29.65,1531.9,1569.25,0.0,780.0,1875.95,1,0,0,0,1,1,1,1,0,3.198673,3.208825,3.5723445,2.525729,3.389462,4.51086,3,0
1,8,46,0,3,46.0,2,8,0.0,0,1,0,1,0,0,3.15,0.0,25.05,0.0,0.0,16.65,0.0,172.05,0.0,0.0,0,0,1,1,0,0,0,0,1,1.147402,3.208825,3.220874,2.847812,3.594569,3.828641,1,0
1,40,38,1,10,85.0,3,12,0.0,0,2,0,0,0,0,10.6,0.0,0.0,0.0,0.0,384.8,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,0,2.360854,3.208825,3.5723445,2.847812,3.594569,4.442651,3,1
2,38,71,0,27,10.0,2,12,1.0,0,1,0,0,0,0,11.2,0.0,0.0,0.0,0.0,429.85,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,2.415914,3.208825,3.5723445,2.847812,3.594569,2.302585,1,0
1,67,68,0,28,244.0,1,47,0.0,1,1,1,0,1,0,30.25,30.25,0.0,30.75,0.0,2186.2,2036.15,0.0,2105.0,0.0,0,1,0,0,1,1,1,1,0,3.409496,3.409496,3.5723445,3.42589,3.594569,5.497168,3,0
1,26,42,0,0,80.0,4,15,0.0,1,1,1,1,1,1,7.85,44.0,49.6,10.5,43.75,196.65,1123.25,1159.35,250.0,1176.55,1,1,1,1,1,1,1,1,1,2.060514,3.78419,3.903991,2.351375,3.778492,4.382027,4,0
3,41,34,1,15,83.0,5,1,0.0,1,2,1,0,1,0,8.9,33.75,0.0,5.75,0.0,379.55,1404.45,0.0,220.0,0.0,1,1,1,1,1,1,1,1,0,2.186051,3.51898,3.5723445,1.7492,3.594569,4.418841,4,0
2,2,31,0,2,21.0,1,6,0.0,0,1,0,1,0,0,1.65,0.0,21.6,0.0,0.0,3.2,0.0,17.25,0.0,0.0,0,0,0,0,0,0,0,1,0,0.500775,3.208825,3.072693,2.847812,3.594569,3.044522,1,1
3,20,48,1,29,24.0,2,3,0.0,0,2,1,0,1,0,11.85,22.5,0.0,35.0,0.0,230.7,452.75,0.0,675.0,0.0,1,1,1,0,1,1,1,1,0,2.472328,3.113515,3.5723445,3.555348,3.594569,3.178054,4,1
2,31,53,0,2,351.0,3,31,0.0,1,1,1,0,1,0,5.5,31.5,0.0,19.25,0.0,185.3,1009.9,0.0,585.0,0.0,0,0,1,0,1,1,1,1,0,1.704748,3.449988,3.5723445,2.957511,3.594569,5.860786,3,0
2,45,52,1,4,169.0,4,29,0.0,1,4,0,1,1,0,14.65,0.0,40.45,14.25,0.0,618.15,0.0,1820.4,690.0,0.0,1,0,0,1,0,0,0,0,0,2.68444,3.208825,3.700067,2.656757,3.594569,5.129899,2,0
2,33,27,1,7,46.0,2,7,0.0,0,4,0,1,0,0,7.25,0.0,29.15,0.0,0.0,243.35,0.0,923.85,0.0,0.0,0,0,0,0,0,0,0,0,1,1.981001,3.208825,3.372455,2.847812,3.594569,3.828641,1,0
1,10,26,0,6,34.0,3,3,0.0,0,1,0,1,0,0,4.85,0.0,27.7,0.0,0.0,41.85,0.0,223.05,0.0,0.0,1,0,0,0,0,0,0,0,0,1.578979,3.208825,3.321432,2.847812,3.594569,3.526361,2,0
2,62,54,1,2,50.0,4,3,0.0,0,2,0,1,1,1,17.25,0.0,48.0,87.5,33.25,1067.8,0.0,2864.15,5455.0,2022.55,1,1,1,1,1,0,1,0,1,2.847812,3.208825,3.871201,4.471639,3.504055,3.912023,4,1
2,4,35,0,16,161.0,5,6,0.0,1,1,1,1,0,1,3.4,23.75,49.8,0.0,35.75,10.35,103.1,126.95,0.0,135.25,0,1,1,1,1,1,1,1,1,1.223775,3.167583,3.908015,2.847812,3.57655,5.081404,4,1
1,42,47,1,17,212.0,4,17,0.0,0,2,1,0,1,0,7.45,26.75,0.0,24.75,0.0,320.9,1163.55,0.0,1035.0,0.0,0,0,0,0,1,1,1,0,0,2.008214,3.286534,3.5723445,3.208825,3.594569,5.356586,3,0
3,27,51,1,3,80.0,5,11,0.0,0,3,0,1,0,0,7.1,0.0,39.4,0.0,0.0,176.2,0.0,1086.65,0.0,0.0,1,0,1,1,0,0,0,0,1,1.960095,3.208825,3.673766,2.847812,3.594569,4.382027,2,0
2,38,42,0,1,30.0,4,7,0.0,1,1,1,0,0,0,13.2,27.5,0.0,0.0,0.0,495.85,1087.9,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,2.580217,3.314186,3.5723445,2.847812,3.594569,3.401197,1,0
3,52,61,1,3,53.0,5,1,0.0,1,2,0,1,1,1,12.25,0.0,38.4,8.75,35.95,631.7,0.0,1884.1,465.0,1971.35,1,1,0,1,0,0,0,1,1,2.505526,3.208825,3.648057,2.169054,3.582129,3.970292,2,0
3,35,33,0,9,73.0,5,4,0.0,1,1,1,0,1,1,5.85,38.25,0.0,22.25,40.35,216.6,1337.6,0.0,700.0,1423.8,1,1,1,1,1,1,1,1,1,1.766442,3.644144,3.5723445,3.102342,3.697591,4.290459,4,0
3,3,20,1,1,17.0,2,0,0.0,1,4,0,0,0,0,3.75,0.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1.321756,3.208825,3.5723445,2.847812,3.594569,2.833213,1,1
2,17,33,0,9,23.0,5,3,0.0,0,1,0,1,1,1,10.2,0.0,36.4,14.5,30.9,196.3,0.0,570.9,220.0,529.25,1,1,0,1,1,1,0,0,1,2.322388,3.208825,3.594569,2.674149,3.430756,3.135494,4,1
1,55,53,1,21,34.0,1,8,0.0,0,2,0,0,0,0,5.7,0.0,0.0,0.0,0.0,304.4,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,0,1.740466,3.208825,3.5723445,2.847812,3.594569,3.526361,3,0
3,43,36,1,5,107.0,1,19,0.0,1,3,1,0,1,0,11.55,12.75,0.0,21.5,0.0,491.55,583.75,0.0,910.0,0.0,1,0,0,0,0,0,0,0,0,2.446685,2.545531,3.5723445,3.068053,3.594569,4.672829,2,1
2,47,25,1,5,21.0,1,1,0.0,1,2,1,0,1,0,8.65,30.5,0.0,9.0,0.0,426.6,1465.45,0.0,405.0,0.0,0,0,0,0,0,1,1,1,0,2.157559,3.417727,3.5723445,2.197225,3.594569,3.044522,3,1
3,65,58,0,30,83.0,2,16,0.0,1,1,0,0,1,0,19.3,0.0,0.0,22.75,0.0,1323.2,0.0,0.0,1370.0,0.0,1,0,0,0,0,1,0,0,0,2.960105,3.208825,3.5723445,3.124565,3.594569,4.418841,2,0
1,13,20,0,1,17.0,3,0,0.0,0,5,0,1,1,0,3.05,0.0,31.3,14.0,0.0,40.3,0.0,390.6,155.0,0.0,1,0,0,1,1,1,1,1,1,1.115142,3.208825,3.443618,2.639057,3.594569,2.833213,4,0
3,64,25,1,4,76.0,3,2,0.0,1,6,0,1,1,0,24.05,0.0,35.4,21.25,0.0,1536.55,0.0,2288.45,1400.0,0.0,1,0,0,0,1,0,1,1,1,3.180135,3.208825,3.566712,3.056357,3.594569,4.330733,3,0
2,12,24,0,2,19.0,1,0,0.0,0,1,1,0,1,0,4.0,24.75,0.0,27.25,0.0,46.0,299.0,0.0,295.0,0.0,0,0,0,0,1,1,1,1,0,1.386294,3.208825,3.5723445,3.305054,3.594569,2.944439,3,1
1,29,32,1,0,49.0,4,3,0.0,1,3,0,1,0,0,6.7,0.0,33.0,0.0,0.0,187.0,0.0,918.25,0.0,0.0,1,0,1,1,0,0,0,0,1,1.902108,3.208825,3.496508,2.847812,3.594569,3.89182,2,1
2,23,47,0,21,173.0,3,22,0.0,1,1,0,0,0,0,7.6,0.0,0.0,0.0,0.0,145.9,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,1,1,2.028148,3.208825,3.5723445,2.847812,3.594569,5.153292,2,0
2,14,35,0,4,47.0,3,10,0.0,1,1,1,0,0,1,5.0,21.75,0.0,0.0,24.15,76.2,318.2,0.0,0.0,274.0,1,0,0,0,0,0,1,1,1,1.609438,3.079614,3.5723445,2.847812,3.184284,3.850148,2,1
1,35,61,0,23,41.0,2,11,0.0,0,1,0,0,1,0,9.6,0.0,0.0,9.5,0.0,353.55,0.0,0.0,295.0,0.0,0,0,0,0,0,0,0,0,0,2.261763,3.208825,3.5723445,2.251292,3.594569,3.713572,1,0
